p,d,q,mae,mse,rmse
5,9,3,360788277538334.06,5.715790949928178e+29,756028501442120.1
5,8,9,178815050049393.53,1.3405941275444251e+29,366141246999627.9
5,9,5,1.666725443455271e+17,1.2930595864187461e+35,3.595913773185817e+17
5,9,4,19.049385525716886,384.14094219390074,19.59951382544732
5,9,6,1.0535605184307794e+17,5.216809190541226e+34,2.284033535336385e+17
6,1,1,4.114649682994169,25.8797425618791,5.087213634385635
6,1,2,6.122930945826968,55.19148059188017,7.429096889385693
6,1,3,4.190889551415868,27.070683480096207,5.202949498130479
5,9,7,3079009578071126.5,4.46184702559817e+31,6679705851007341.0
6,1,4,4.140452475271825,26.285381372284057,5.1269270886452105
6,1,5,4.041154326872662,24.564258619797453,4.956234318491959
5,9,8,1.8768860559896972e+16,1.6620933880193997e+33,4.076877957480944e+16
6,1,6,4.240099046997696,27.953151707465306,5.287074021371869
6,1,7,4.8523729672289635,37.66362114970824,6.137069426828105
5,9,9,3728248774880757.0,6.089822346725588e+31,7803731381028942.0
6,1,8,5.112329414743372,41.163425269665886,6.41587291564179
6,2,1,5.475370977456616,45.84698492288829,6.771040165505466
6,1,9,4.215703118068336,27.48948897463631,5.243041958122814
6,2,3,5.809151625922357,50.593294048359745,7.112896319247156
6,2,2,3.9497384010964516,22.823117028983834,4.777354605739858
6,2,4,10.128439453748742,132.9933552046302,11.53227450265689
6,2,5,8.221565070196817,88.96380222627035,9.432062458776995
6,2,7,7.534482674304467,77.02788627282146,8.776553211416282
6,2,6,8.764460098089243,98.41662647208031,9.920515433790742
6,3,1,1394.6286336143605,2662704.3555739108,1631.779505807666
6,2,8,7.883278876202694,82.97610271442927,9.109121950793572
6,2,9,11.164745550247764,154.25403586378098,12.419904825069352
6,3,2,1634.6154106483987,3657479.7883412377,1912.453865676565
6,3,3,1873.2256828580234,4923614.42725483,2218.9219065246143
6,3,4,4300.7364187934745,29801284.715220712,5459.055295123939
6,3,5,1935.4859829488234,5127676.199114267,2264.437280896573
6,3,6,5036.121209275975,40945419.72968383,6398.860814995419
6,3,7,2104.932257551095,6339790.623900278,2517.8940851235734
