degree,mae,mse,rmse,time
260,1.3540862235381361e+38,6.072752286061411e+77,7.792786591496915e+38,1284821872
261,1.0218032505035551e+39,3.4467497630338876e+79,5.87090262483878e+39,1353669262
262,1.722451577270829e+39,9.887473871035533e+79,9.943577762071121e+39,1155001599
263,2.638422961407702e+38,2.317062749838798e+78,1.522190116194031e+39,1307685245
264,3.464527851089986e+39,4.0523051014513765e+80,2.013033805342418e+40,1464882450
266,9.791416537064497e+39,3.2396014738637923e+81,5.691749708010528e+40,1315824035
265,1.5853497546888816e+39,8.508113516699562e+79,9.223943579998505e+39,1427340342
267,3.569934402699979e+39,4.295846304251018e+80,2.0726423483686272e+40,1311251430
269,2.392749458644772e+39,1.9642555012923747e+80,1.4015189978349829e+40,818416377
268,7.37804777390738e+38,1.8981053462157935e+79,4.356725084528278e+39,932802944
270,3.634759660358916e+39,4.468826383539504e+80,2.113959882197272e+40,1319904064
271,7.627349739782139e+39,2.0041567542376356e+81,4.476780935267702e+40,1422897522
273,2.6703787337582578e+38,3.382518958168699e+78,1.8391625698041756e+39,1306460113
272,2.74003454762726e+39,2.580180991929126e+80,1.6062941797594628e+40,1475750929
274,1.0489231289228215e+40,3.8104837343474e+81,6.172911577487077e+40,1520313037
275,5.955202076248821e+40,1.2426515129745446e+83,3.525126257277241e+41,1201895929
277,6.4257838477741654e+41,1.4469082971151548e+85,3.803824781867791e+42,1292031379
276,1.0705504843942695e+41,3.9699074207090255e+83,6.300720134007719e+41,1432653849
278,5.939588767046639e+39,1.2891833302289116e+81,3.5905199208873797e+40,1335957803
279,2.4360515183457615e+41,2.0912169139918438e+84,1.446104046737939e+42,1391426269
280,3.0108294886114926e+39,2.7021945101620347e+80,1.6438353050601007e+40,1358045953
281,1.1296746629817161e+41,4.454282319189867e+83,6.674040994172771e+41,1370226653
282,3.75392665498092e+41,5.051030380069359e+84,2.2474497502879478e+42,1478287660
283,3.868835371036227e+41,5.397211618644506e+84,2.3231899661122217e+42,1321648593
284,1.0688389678029454e+42,4.1055193537620585e+85,6.407432679132929e+42,1358981451
285,6.952166971635854e+40,1.75618754113499e+83,4.1906891332273626e+41,1394056065
287,1.3416980947254572e+42,6.53781798661719e+85,8.085677452518861e+42,827454368
286,7.165543920083723e+42,1.8721517979760882e+87,4.326836948598928e+43,1361048297
288,9.012466804745168e+41,2.964232274658313e+85,5.444476351916971e+42,1307736586
289,5.0849151665844304e+41,9.487633175796732e+84,3.080200184370609e+42,1377087149
290,2.7107871547506944e+42,2.716656321667921e+86,1.6482282371285603e+43,1385048666
291,8.60392668062981e+42,2.7159202721594272e+87,5.211449195914153e+43,1376428973
292,2.9923141449173135e+42,3.322373734219739e+86,1.8227379773899864e+43,1215437958
293,3.702088092269852e+41,5.026087985097107e+84,2.2418938389444554e+42,1279843269
294,8.056765030801844e+41,2.6750683065259726e+85,5.172106250383854e+42,1309325171
295,3.654150319129597e+40,2.824304279226844e+82,1.6805666542053141e+41,1384089760
296,1.33060605286935e+42,6.115444005681176e+85,7.820130437327229e+42,1391142513
297,2.1906444654531855e+43,1.8179754205399662e+88,1.3483231884603804e+44,1467872939
298,4.1107105062603325e+43,6.370372860590034e+88,2.5239597581162095e+44,1326724465
299,9.185257464629422e+43,3.187187563873013e+89,5.645518190452505e+44,1523700094
300,5.736013208081641e+43,1.2464851461370909e+89,3.5305596527138456e+44,1237054570
301,6.710718836183108e+44,1.6929739035659595e+91,4.114576410234667e+45,1605964903
302,2.2845774192437096e+43,2.0219486189567572e+88,1.4219523968673344e+44,1520801563
304,1.1920413140057131e+42,4.436999300630616e+85,6.661080468385453e+42,966369908
303,9.581007464494857e+43,3.521962711489363e+89,5.934612633937756e+44,1392912177
305,2.5327972135442988e+44,2.5028110544432397e+90,1.582027513807279e+45,1273887400
306,2.715978104839174e+44,2.877357107980158e+90,1.6962774265962976e+45,1342416776
307,1.9874504058443413e+44,1.5631195268442579e+90,1.2502477861785071e+45,1373959690
308,7.804170165056305e+47,2.384533267976813e+97,4.883168303444817e+48,1340761273
309,8.719529205463934e+44,2.9627279862869295e+91,5.4430946953795775e+45,1432843111
310,5.030183542855043e+44,1.0047440678441747e+91,3.1697698147407716e+45,1346241406
311,3.26842442978932e+44,4.355998924806524e+90,2.0871029981307878e+45,1343597532
312,3.98419351567824e+44,6.829599387453489e+90,2.6133502228850785e+45,1378239614
313,5.3374100109180007e+45,1.131536289754771e+93,3.3638315798428e+46,1378270088
314,2.6666367527809718e+44,2.4281036261049866e+90,1.5582373458831575e+45,1364035736
315,7.129485259904864e+44,2.0096992285614585e+91,4.482966906593733e+45,1536982154
316,3.7486295659598157e+46,5.617634382049896e+94,2.370154927858071e+47,1476149440
317,3.554444536668573e+46,5.069519332945749e+94,2.251559311443016e+47,1448622057
318,2.023725828475453e+45,1.6382538904014227e+92,1.2799429246655582e+46,1458828418
319,4.428485204227515e+44,7.562217196337385e+90,2.749948580671534e+45,1368960785
320,8.51949821467242e+44,3.3459793638334646e+91,5.784444107979144e+45,1378831041
321,3.444831453590418e+46,4.840127412588913e+94,2.2000289572159985e+47,1382900331
322,1.737540458729065e+46,1.2327017688450702e+94,1.1102710339575064e+47,1511408707
323,4.918955988475643e+46,9.860290376931004e+94,3.1401099307080005e+47,1475011239
324,2.2107200331079953e+47,1.9986621747276895e+96,1.4137404905878906e+48,1549690549
325,3.77000749898291e+46,5.847446876535961e+94,2.41814947357188e+47,1424125842
327,1.1602532474266649e+47,5.557209525196094e+95,7.454669358996477e+47,1451687108
326,2.9293926153531785e+46,3.584773916885565e+94,1.893349919292671e+47,1569263315
328,9.782812621497949e+46,3.981968797427791e+95,6.310284302175134e+47,1432612962
329,4.035208753279882e+47,6.768902818621647e+96,2.60171151717896e+48,1481593457
330,1.878344965227866e+47,1.4755278221672964e+96,1.2147130616599528e+48,1375150577
332,3.4358027016603785e+47,4.962824617532885e+96,2.2277398002309167e+48,1250610168
331,2.1918454720870044e+47,2.0262622221564902e+96,1.423468377645422e+48,1550251580
333,1.6994052815932407e+47,1.2174134510277178e+96,1.1033646047557071e+48,1642999576
334,1.6820448048976264e+47,1.1985752029370519e+96,1.0947945939476737e+48,1616355137
335,1.6170101705452484e+48,1.1056031510562252e+98,1.0514766526443777e+49,1506591380
336,6.030720976172496e+48,1.5435157428424707e+99,3.928760291545503e+49,1516805384
337,1.4599407968561836e+48,9.039845945312409e+97,9.507810444740897e+48,1525988790
338,2.0017688686868604e+48,1.7286082047251372e+98,1.3147654561651432e+49,1612362856
339,1.385250875233611e+49,8.220177006732617e+99,9.066519181434855e+49,1628300600
340,2.9499019010797436e+49,3.660945719789236e+100,1.9133597988327327e+50,1648544163
341,4.373544591881652e+48,8.358417549505172e+98,2.8910927950353257e+49,1632246159
342,1.1778459812898352e+49,6.010004348576065e+99,7.752421781982753e+49,1550634882
343,1.7196272691988683e+48,1.2445051516104851e+98,1.11557391131672e+49,1540726353
344,1.5319512670734717e+50,1.0257535985271517e+102,1.0127949439680036e+51,1507585614
345,4.3002788242904666e+48,7.98168235657549e+98,2.8251871365584777e+49,1329681195
348,5.226190033143579e+50,1.206507046397493e+103,3.473481029741624e+51,1525648854
347,2.652955777317262e+49,3.079955409198716e+100,1.7549801734488957e+50,1639668161
346,8.275931072394462e+49,3.0042069452008963e+101,5.481064627607392e+50,1690840749
349,1.789488052444478e+51,1.424275036922622e+104,1.1934299463825358e+52,1740677325
350,3.6536496829769604e+50,5.916190696512816e+102,2.432322079107291e+51,1681027602
352,4.722418182407519e+49,9.820143525070298e+100,3.1337108234599917e+50,1678740675
