,polynomial-regression-model-degree,residuals-min,residuals-max,residuals-µ,residuals-σ,mse,mae,rmse
88,89,6.75045397887962e+21,6.969473998152818e+23,2.00705939582216e+23,1.9392030038465216e+23,7.788795708485385e+46,2.00705939582216e+23,2.7908413979453196e+23
89,90,6.849380930341757e+20,6.957016899026425e+23,1.9240858996731978e+23,1.6331813491544926e+23,6.369387868547308e+46,1.9240858996731978e+23,2.5237646222552745e+23
90,91,1.6740003042042933e+21,6.761782545737812e+23,2.213205482943275e+23,1.75104556325959e+23,7.964439074341273e+46,2.213205482943275e+23,2.8221337803763436e+23
91,92,7.660565181204389e+21,1.5204985179521133e+24,4.342001405796715e+23,3.681386766129605e+23,3.2405584729774836e+47,4.342001405796715e+23,5.6925903356709974e+23
92,93,3.1361497998592357e+22,1.1896816346598663e+24,2.954998310446048e+23,2.272430893837116e+23,1.3895957182004347e+47,2.954998310446048e+23,3.727728152910878e+23
93,94,4.591334024243524e+19,1.8812505821530744e+24,3.88032589527805e+23,4.240416790215459e+23,3.303806360830657e+47,3.88032589527805e+23,5.747874703601895e+23
94,95,1.595008621618846e+21,6.825195713169644e+23,1.978687633247766e+23,1.6409940311210145e+23,6.608066160142445e+46,1.978687633247766e+23,2.5706159106607982e+23
95,96,8.241008510378474e+20,8.021126116751724e+24,2.1114749208698388e+24,1.810912281145719e+24,7.737729631466684e+48,2.1114749208698388e+24,2.781677485163707e+24
96,97,6.033744323095051e+21,5.0603517934710044e+23,1.4889322152313821e+23,1.3137973221483402e+23,3.9429825452379815e+46,1.4889322152313821e+23,1.9856944742930574e+23
97,98,1.6936614520856737e+22,6.784688773441125e+23,1.7319295506120886e+23,1.8021142870164814e+23,6.247195871752312e+46,1.7319295506120886e+23,2.499439111431265e+23
98,99,4.480105801095131e+21,1.1132902190375792e+24,2.9772965904379833e+23,2.8987212797765173e+23,1.7266880045262852e+47,2.9772965904379833e+23,4.1553435532170924e+23
99,100,3.857132008988037e+21,5.476574253083082e+23,1.4649402809392428e+23,1.4246387397388946e+23,4.1756455654831745e+46,1.4649402809392428e+23,2.0434396407731683e+23
100,101,5.439502707792577e+21,6.119568905646547e+23,1.691768642842262e+23,1.7581588052510396e+23,5.953203525386112e+46,1.691768642842262e+23,2.439918753849421e+23
101,102,1.9356116242174854e+22,5.4782512272601564e+23,1.36153642541327e+23,1.0894377121413486e+23,3.040655966362922e+46,1.36153642541327e+23,1.7437476785254575e+23
102,103,5.003242705086369e+20,6.577943122544285e+23,1.7182083166459305e+23,1.4438872214684484e+23,5.037050127711118e+46,1.7182083166459305e+23,2.2443373471274584e+23
103,104,1.30087570138109e+21,4.790669110721578e+23,1.4088807411384167e+23,1.1669365894299256e+23,3.346685946501081e+46,1.4088807411384167e+23,1.8293949673323913e+23
104,105,4.0753229188116355e+21,4.971080592466875e+23,1.585796429672115e+23,1.2049756819617284e+23,3.966716710479959e+46,1.585796429672115e+23,1.991661796209376e+23
105,106,1.2346844760082626e+22,1.092556189057215e+24,3.317450990036845e+23,2.596136225369688e+23,1.774540437197321e+47,3.317450990036845e+23,4.2125294505763644e+23
106,107,6.243543261659757e+21,7.442282020738413e+23,2.086428289017393e+23,1.9214418171825385e+23,8.045121662029784e+46,2.086428289017393e+23,2.836392367432578e+23
107,108,8.641151640311381e+21,5.4065102172699755e+23,1.299546998993314e+23,1.1705990149808281e+23,3.0591244564666145e+46,1.299546998993314e+23,1.749035293087768e+23
108,109,1.562076945268482e+22,1.289550579382726e+24,3.279155238971574e+23,2.7623341553831855e+23,1.838334906727127e+47,3.279155238971574e+23,4.287580794255808e+23
109,110,1.0547122668061275e+22,6.259807516538214e+23,1.3630221507942111e+23,1.3642308608813436e+23,3.7189552253367285e+46,1.3630221507942111e+23,1.9284592879645473e+23
110,111,4.790229911050901e+20,6.754573431046158e+23,1.6140323914786327e+23,1.7227852179335304e+23,5.573089467872516e+46,1.6140323914786327e+23,2.3607391782813526e+23
111,112,7.201882051684986e+20,6.695129703056935e+23,1.6195149525706196e+23,1.7100470274513638e+23,5.547089517695059e+46,1.6195149525706196e+23,2.3552260014051858e+23
112,113,3.335228867091462e+22,3.1972631012004915e+24,7.018264048493474e+23,6.385371295034647e+23,9.002899682982844e+47,7.018264048493474e+23,9.488361124547718e+23
113,114,2.1574955855644511e+21,6.748147410959627e+23,2.1614225715802618e+23,1.8118579499606492e+23,7.954576763772239e+46,2.1614225715802618e+23,2.8203859246160335e+23
114,115,2.681402274176275e+21,6.00902075675464e+23,1.543690678173304e+23,1.45635852923977e+23,4.5039610755685816e+46,1.543690678173304e+23,2.1222537726597592e+23
115,116,1.6350982213692807e+21,1.4352295804156998e+24,2.9362065064131668e+23,2.7896235150231817e+23,1.6403308003873309e+47,2.9362065064131668e+23,4.050099752336146e+23
116,117,2.809911233098734e+21,6.32504489584799e+23,1.703060336071055e+23,1.7055560706981532e+23,5.80933601859378e+46,1.703060336071055e+23,2.4102564217513828e+23
117,118,2.468298536945783e+22,1.3733407494465785e+24,3.4542118489890914e+23,2.8371693037714746e+23,1.9981109155959755e+47,3.4542118489890914e+23,4.470023395460001e+23
118,119,9.38810250678376e+21,4.176502422138515e+23,9.71967456095386e+22,8.267410377294801e+22,1.6282214791745541e+46,9.71967456095386e+22,1.276017820868719e+23
119,120,8.897042500798193e+21,4.1688470061966305e+23,9.712052896762082e+22,8.254173133157474e+22,1.624553455816434e+46,9.712052896762082e+22,1.2745797173250617e+23
120,121,2.872618756937347e+21,4.3441730174483507e+23,1.1904462391318592e+23,1.0385795153750694e+23,2.495809658019902e+46,1.1904462391318592e+23,1.5798131718718836e+23
121,122,2.64156506663062e+21,4.249849747409101e+23,1.0013949269573131e+23,8.981829747030764e+22,1.8095244557823092e+46,1.0013949269573131e+23,1.3451856584807575e+23
122,123,1.1019767731924133e+22,6.883956085826483e+23,2.300477525029464e+23,1.8994256661100928e+23,8.900014704243459e+46,2.300477525029464e+23,2.9832892424710445e+23
123,124,2.674577816308985e+21,4.30481279886634e+23,1.2189968544720966e+23,9.414046362407626e+22,2.372196020348469e+46,1.2189968544720966e+23,1.540193500943459e+23
124,125,7.10859711751981e+21,4.594496367792305e+23,1.5238284933909034e+23,1.1664502340230307e+23,3.6826594257223737e+46,1.5238284933909034e+23,1.9190256448839796e+23
125,126,6.655845453901374e+20,4.770662023834624e+23,1.4150414869797925e+23,1.1499518416029315e+23,3.324731647879956e+46,1.4150414869797925e+23,1.8233846681048836e+23
126,127,5.556564569970696e+21,5.88909012341285e+23,1.1856732805318209e+23,1.1303314472216227e+23,2.683470308745218e+46,1.1856732805318209e+23,1.638130125705897e+23
127,128,2.6274174788782e+21,6.087391992333079e+23,1.2806375208775224e+23,1.236722923840672e+23,3.169516050232347e+46,1.2806375208775224e+23,1.780313469654248e+23
128,129,3.445765577088602e+20,6.0197311280268135e+23,1.2429154485031677e+23,1.1805716360446228e+23,2.938588199960908e+46,1.2429154485031677e+23,1.7142310812608982e+23
129,130,3.670120869528399e+21,2.593773867726555e+25,7.752580572219956e+24,6.896195448971096e+24,1.0766001719917197e+50,7.752580572219956e+24,1.0375934521727282e+25
130,131,4.679053368033905e+21,6.415884493322644e+23,1.7525525698465252e+23,1.5648101900566826e+23,5.520071440980892e+46,1.7525525698465252e+23,2.3494832284953413e+23
131,132,1.2464473795701202e+21,3.5970464949070175e+23,1.3461747353483469e+23,1.0463342007137429e+23,2.9070016776734594e+46,1.3461747353483469e+23,1.704993160594335e+23
132,133,3.70337363191685e+21,1.3302751729665392e+24,4.3156446392539186e+23,3.843211625384187e+23,3.3395064249809238e+47,4.3156446392539186e+23,5.778846273246005e+23
133,134,1.3878121132349383e+21,1.3190516774826195e+24,4.314424091812934e+23,3.870203688617282e+23,3.3592731835402686e+47,4.314424091812934e+23,5.7959237258096044e+23
134,135,4.18560468030849e+21,5.136928291433604e+24,1.228663262002792e+24,1.0984736813346534e+24,2.7162578399802474e+48,1.228663262002792e+24,1.6481073508665166e+24
